"filecode","wave","canonical_name","variable_type","value_raw","value_numeric","value_label","is_missing","conflicts","solution"
"016","Z","retnfr","categorical","5","5","reason category 5","FALSE","Cross-wave coding conflict: 5 differs for 2B (other reason), 3B (financially more favourable)",
"016","Z","retreas","categorical","2","2","reason category 2","FALSE","Cross-wave coding conflict: 2 differs for 2B/3B (physically too heavy), J (other work related factors (organisational changes/conflicts))",
"016","Z","retreas","categorical","3","3","reason category 3","FALSE","Cross-wave coding conflict: 3 differs for 2B/3B (health complaints too hampering), J (physically too heavy)",
"016","Z","retreas","categorical","4","4","reason category 4","FALSE","Cross-wave coding conflict: 4 differs for 2B/3B (not motivated anymore), J (health complaints too hampering)",
"016","Z","retreas","categorical","5","5","reason category 5","FALSE","Cross-wave coding conflict: 5 differs for 2B/3B (nicer to spend more time on private life), J (afraid of deterioration of health)",
"016","Z","retreas","categorical","6","6","reason category 6","FALSE","Cross-wave coding conflict: 6 differs for 2B/3B (not possible anymore in the future), J (not motivated anymore/lost interest)",
"016","Z","retreas","categorical","7","7","reason category 7","FALSE","Cross-wave coding conflict: 7 differs for 2B/3B (other reason), J (more enjoyable to spend more time on private life)",
"016","Z","retyr","categorical","2","2","reason category 2","FALSE","Cross-wave coding conflict: 2 differs for 2B/3B (physically too heavy), J (other work related factors (organisational changes/conflicts))",
"016","Z","retyr","categorical","3","3","reason category 3","FALSE","Cross-wave coding conflict: 3 differs for 2B/3B (health complaints too hampering), J (physically too demanding)",
"016","Z","retyr","categorical","4","4","reason category 4","FALSE","Cross-wave coding conflict: 4 differs for 2B/3B (not motivated anymore), J (health complaints too limiting)",
"016","Z","retyr","categorical","5","5","reason category 5","FALSE","Cross-wave coding conflict: 5 differs for 2B/3B (nicer to spend more time on private life), J (afraid of deterioration of health)",
"016","Z","retyr","categorical","6","6","reason category 6","FALSE","Cross-wave coding conflict: 6 differs for 2B/3B (not possible anymore in the future), J (not motivated anymore/lost interest)",
"016","Z","retyr","categorical","7","7","reason category 7","FALSE","Cross-wave coding conflict: 7 differs for 2B/3B (other reason), J (more enjoyable to spend more time on private life)",
"016","Z","tasks","categorical","-2","-2","negative code -2","TRUE","Cross-wave coding conflict: -2 differs for J/K (not available, routing), J/K (mainly physically demanding tasks)",
"016","Z","tasks","categorical","-1","-1","negative code -1","TRUE","Cross-wave coding conflict: -1 differs for J/K (not available, asked), J/K (mainly mentally demanding tasks)",
"016","Z","workret","ordinal","2","2","ordinal category 2","FALSE","Cross-wave coding conflict: 2 differs for MB (i am sometimes not sure about this), I/J/K (i am not sure about this)",
"017","Z","inccat","ordinal","1","1","income category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C (ƒ 1.000-1.250), 2B (454-567 euro), F/G/H/3B/MB/I (454-567 euro (1000-1250 fl)), J/K (0 en 453 euro (0-1000 fl))",
"017","Z","inccat","ordinal","2","2","income category 2","FALSE","Cross-wave coding conflict: 2 differs for B/C (ƒ 1.251-1.500), 2B (568-680 euro), F/G/H/3B/MB/I (568-680 euro (1251-1500 fl)), J/K (454-567 euro (1000-1250 fl))",
"017","Z","inccat","ordinal","3","3","income category 3","FALSE","Cross-wave coding conflict: 3 differs for B/C (ƒ 1.501-1.750), 2B (681-794 euro), F/G/H/3B/MB/I (681-794 euro (1501-1750 fl)), J/K (568-680 euro (1251-1500 fl))",
"017","Z","inccat","ordinal","4","4","income category 4","FALSE","Cross-wave coding conflict: 4 differs for B/C (ƒ 1.751-2.000), 2B (795-907 euro), F/G/H/3B/MB/I (795-907 euro (1751-2000 fl)), J/K (681-794 euro (1501-1750 fl))",
"017","Z","inccat","ordinal","5","5","income category 5","FALSE","Cross-wave coding conflict: 5 differs for B/C (ƒ 2.001-2.250), 2B (908-1021 euro), F/G/H/3B/MB/I (908-1021 euro (2001-2250 fl)), J/K (795-907 euro (1751-2000 fl))",
"017","Z","inccat","ordinal","6","6","income category 6","FALSE","Cross-wave coding conflict: 6 differs for B/C (ƒ 2.251-2.500), 2B (1022-1134 euro), F/G/H/3B/MB/I (1022-1134 euro (2251-2500 fl)), J/K (908-1021 euro (2001-2250 fl))",
"017","Z","inccat","ordinal","7","7","income category 7","FALSE","Cross-wave coding conflict: 7 differs for B/C (ƒ 2.501-3.000), 2B (1135-1361 euro), F/G/H/3B/MB/I (1135-1361 euro (2501-3000 fl)), J/K (1022-1134 euro (2251-2500 fl))",
"017","Z","inccat","ordinal","8","8","income category 8","FALSE","Cross-wave coding conflict: 8 differs for B/C (ƒ 3.001-3.500), 2B (1362-1588 euro), F/G/H/3B/MB/I (1362-1588 euro (3001-3500 fl)), J/K (1135-1361 euro (2501-3000 fl))",
"017","Z","inccat","ordinal","9","9","income category 9","FALSE","Cross-wave coding conflict: 9 differs for B/C (ƒ 3.501-4.000), 2B (1589-1815 euro), F/G/H/3B/MB/I (1589-1815 euro (3501-4000 fl)), J/K (1362-1588 euro (3001-3500 fl))",
"017","Z","inccat","ordinal","10","10","income category 10","FALSE","Cross-wave coding conflict: 10 differs for B/C (ƒ 4.001-4.500), 2B (1816-2042 euro), F/G/H/3B/MB/I (1816-2042 euro (4001-4500 fl)), J/K (1589-1815 euro (3501-4000 fl))",
"017","Z","inccat","ordinal","11","11","income category 11","FALSE","Cross-wave coding conflict: 11 differs for B/C (ƒ 4.501-5.000), 2B (2043-2269 euro), F/G/H/3B/MB/I (2043-2269 euro (4501-5000 fl)), J/K (1816-2042 euro (4001-4500 fl))",
"017","Z","inccat","ordinal","12","12","income category 12","FALSE","Cross-wave coding conflict: 12 differs for B/C (ƒ 5.001 or more per month), 2B (2270 euro or more), F (2270 euro or more (5001 fl or more)), G/H/3B/MB/I (2270-2495 euro (5001-5500 fl)), J/K (2043-2269 euro (4501-5000 fl))",
"017","Z","inccat","ordinal","13","13","income category 13","FALSE","Cross-wave coding conflict: 13 differs for G/H/3B/MB/I (2496-2722 euro (5501-6000 fl)), J/K (2270-2495 euro (5001-5500 fl))",
"017","Z","inccat","ordinal","14","14","income category 14","FALSE","Cross-wave coding conflict: 14 differs for G/H/3B/MB/I (2723-2949 euro (6001-6500 fl)), J/K (2496-2722 euro (5501-6000 fl))",
"017","Z","inccat","ordinal","15","15","income category 15","FALSE","Cross-wave coding conflict: 15 differs for G/H/3B/MB/I (2950-3176 euro (6501-7000 fl)), J/K (2723-2949 euro (6001-6500 fl))",
"017","Z","inccat","ordinal","16","16","income category 16","FALSE","Cross-wave coding conflict: 16 differs for G/H/3B/MB/I (3177-3403 euro (7001-7500 fl)), J/K (2950-3176 euro (6501-7000 fl))",
"017","Z","inccat","ordinal","17","17","income category 17","FALSE","Cross-wave coding conflict: 17 differs for G/H/3B/MB/I (3404-3630 euro (7501-8000 fl)), J/K (3177-3403 euro (7001-7500 fl))",
"017","Z","inccat","ordinal","18","18","income category 18","FALSE","Cross-wave coding conflict: 18 differs for G/H/3B/MB/I (3631-3857 euro (8001-8500 fl)), J/K (3404-3630 euro (7501-8000 fl))",
"017","Z","inccat","ordinal","19","19","income category 19","FALSE","Cross-wave coding conflict: 19 differs for G/H/3B/MB/I (3858-4084 euro (8501-9000 fl)), J/K (3631-3857 euro (8001-8500 fl))",
"017","Z","inccat","ordinal","20","20","income category 20","FALSE","Cross-wave coding conflict: 20 differs for G/H/3B/MB/I (4085-4311 euro (9001-9500 fl)), J/K (3858-4084 euro (8501-9000 fl))",
"017","Z","inccat","ordinal","21","21","income category 21","FALSE","Cross-wave coding conflict: 21 differs for G/H/3B/MB/I (4312-4537 euro (9501-10000 fl)), J/K (4085-4311 euro (9001-9500 fl))",
"017","Z","inccat","ordinal","22","22","income category 22","FALSE","Cross-wave coding conflict: 22 differs for G/H/3B/MB/I (4538-4991 euro (10001-11000 fl)), J/K (4312-4537 euro (9501-10000 fl))",
"017","Z","inccat","ordinal","23","23","income category 23","FALSE","Cross-wave coding conflict: 23 differs for G/H/3B/MB/I (4992-5445 euro (11001-12000 fl)), J/K (4538-4991 euro (10001-11000 fl))",
"017","Z","inccat","ordinal","24","24","income category 24","FALSE","Cross-wave coding conflict: 24 differs for G/H/3B/MB/I (5446 or more (12000 fl or more)), J/K (4992-5445 euro (11001-12000 fl))",
"017","Z","partinc","categorical","-5","-5","not available","TRUE","Cross-wave coding conflict: -5 differs for B (not available, refused), 2B/F/G/H/3B/MB/I/J/K (not available, partner out household)",
"017","Z","partinc","categorical","-2","-2","not available","TRUE","Cross-wave coding conflict: -2 differs for B (not available, routing), C/D/E/2B/F/G/H/3B/MB/I/J/K (not available, no partner)",
"017","Z","partinc","categorical","1","1","category 1","FALSE","Cross-wave coding conflict: 1 differs for B (yes), C/D/E/2B/F/G/H/3B/MB/I/J/K (no)",
"017","Z","respinc","binary","1","1","binary category 1","FALSE","Cross-wave coding conflict: 1 differs for B (yes), C/D/E/2B/F/G/H/3B/MB/I/J/K (no)",
"019","Z","incdecl","ordinal","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B (not available, do not know), C/D/2B/G/H/3B/MB/I/J/K (not available, asked)",
"019","Z","incdecl","ordinal","2","2","income category 2","FALSE","Cross-wave coding conflict: 2 differs for B/C/D (yes, < ƒ 100), 2B (yes, < 45,45 euro), G/H/3B/MB/I/J/K (yes, < 45 euro)",
"019","Z","incdecl","ordinal","3","3","income category 3","FALSE","Cross-wave coding conflict: 3 differs for B/C/D (yes, ƒ 100-200), 2B (yes, 45,45-90,90 euro), G/H/3B/MB/I/J/K (yes, 45-136 euro)",
"019","Z","incdecl","ordinal","4","4","income category 4","FALSE","Cross-wave coding conflict: 4 differs for B/C/D (yes, ƒ 200-300), 2B (yes, 90,90-136,36 euro), G/H/3B/MB/I/J/K (yes, 136-227 euro)",
"019","Z","incdecl","ordinal","5","5","income category 5","FALSE","Cross-wave coding conflict: 5 differs for B/C/D (yes, ƒ 300-400), 2B (yes, 136,36-181,81 euro), G/H/3B/MB/I/J/K (yes, 227-318 euro)",
"019","Z","incdecl","ordinal","6","6","income category 6","FALSE","Cross-wave coding conflict: 6 differs for B/C/D (yes, ƒ 400-500), 2B (yes, 181,81-227,27 euro), G/H/3B/MB/I/J/K (yes, 318-410 euro)",
"019","Z","incdecl","ordinal","7","7","income category 7","FALSE","Cross-wave coding conflict: 7 differs for B (yes, > ƒ 500), C/D (yes, ƒ 500 >), 2B (yes, > 227,27 euro), G/H/3B/MB/I/J/K (yes, > 410 euro)",
"019","Z","incsat1","ordinal","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B (not available, do not know), C/D/E/2B/F/G/H/3B/MB/I/J/K (not available, asked)",
"019","Z","incsat2","ordinal","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B (not available, do not know), C/D/E/2B/F/G/H/3B/MB/I/J/K (not available, asked)",
"021","Z","mmse12","numeric","1","1","MMSE item12 response category 1","FALSE","Cross-wave coding conflict: 1 differs for B/C/D/E/2B/F/G/H/3B/I/J/K (1 right), MB (wrong)",
"021","Z","mmse12","numeric","2","2","MMSE item12 response category 2","FALSE","Cross-wave coding conflict: 2 differs for B/C/D/E/2B/F/G/H/3B/I/J/K (2 right), MB (correct)",
"023","Z","evmem08","categorical","-1","-1","not available","TRUE","Cross-wave coding conflict: -1 differs for B (not available, asked), F (not available, no observation)",
"023","Z","evmem08","categorical","3","3","other handedness/writing category","FALSE","Cross-wave coding conflict: 3 differs for B (left handed but right hand), F (R cannot write / other remark)",
"028","Z","advemv","numeric","-2","-2","not available","TRUE","Cross-wave coding conflict: -2 differs for B (not available, routing), C/D/E/2B/F/G/H/3B/I/J/K (not available, no valid data)",
"028","Z","alcmv","numeric","-2","-2","not available","TRUE","Cross-wave coding conflict: -2 differs for B (not available, routing), C/D/E/2B/F/G/H/3B/I/J/K (not available, no valid data)",
"028","Z","compmv","numeric","-2","-2","not available","TRUE","Cross-wave coding conflict: -2 differs for B (not available, routing), C/D/E/2B/F/G/H/3B/I/J/K (not available, no valid data)",
"028","Z","initmv","numeric","-2","-2","not available","TRUE","Cross-wave coding conflict: -2 differs for B (not available, routing), C/D/E/2B/F/G/H/3B/I/J/K (not available, no valid data)",
"030","Z","adl1a","ordinal","3","3","functional ability category 3","FALSE","Cross-wave coding conflict: 3 differs for B (yes, with difficulty), C/D/E/2B/F/G/H/3B/MB/I/J/K (yes, with much difficulty)",
"030","Z","adl1a","ordinal","4","4","functional ability category 4","FALSE","Cross-wave coding conflict: 4 differs for B (yes, without help), C/D/E/2B/F/G/H/3B/MB/I/J/K (yes, with some difficulty)",
"030","Z","adl4a","ordinal","3","3","functional ability category 3","FALSE","Cross-wave coding conflict: 3 differs for B (yes, with difficulty), C/D/E/2B/F/G/H/3B/MB/I/J/K (yes, with much difficulty)",
